Frame,Front_DL_FPS,Power_W,GPU_Load_%,Temp_GPU_C,Temp_CPU_C,Temp_TJ_C,RAM_MB,CPU1_Load_%,CPU2_Load_%,CPU3_Load_%,CPU4_Load_%,CPU5_Load_%,CPU6_Load_%
0,1.0640148555540898,6074,23.1,51.437,52.281,52.281,0.6797033227787269,17,18,18,21,31,36
1,10.794426629469685,6645,6.9,51.468,52.437,52.437,0.7230499993079788,18,21,23,18,6,82
2,10.75868083611002,6645,6.9,51.468,52.437,52.437,0.7230499993079788,18,21,23,18,6,82
3,12.39323356035871,6645,6.9,51.468,52.437,52.437,0.7230499993079788,18,21,23,18,6,82
4,9.618992578730587,6645,6.9,51.468,52.437,52.437,0.7230499993079788,18,21,23,18,6,82
5,12.289164110272164,6645,6.9,51.468,52.437,52.437,0.7230499993079788,18,21,23,18,6,82
6,12.530559323147887,6645,6.9,51.468,52.437,52.437,0.7230499993079788,18,21,23,18,6,82
7,13.23136812020303,8331,2.3,51.937,52.375,52.437,0.7264906266996172,5,5,7,4,2,61
8,14.389877725781883,8331,2.3,51.937,52.375,52.437,0.7264906266996172,5,5,7,4,2,61
9,13.333367241839706,8331,2.3,51.937,52.375,52.437,0.7264906266996172,5,5,7,4,2,61
10,13.169218789737922,8331,2.3,51.937,52.375,52.437,0.7264906266996172,5,5,7,4,2,61
11,13.2378409428043,8331,2.3,51.937,52.375,52.437,0.7264906266996172,5,5,7,4,2,61
12,13.100526919100583,8331,2.3,51.937,52.375,52.437,0.7264906266996172,5,5,7,4,2,61
13,13.344736306251272,8331,2.3,51.937,52.375,52.437,0.7264906266996172,5,5,7,4,2,61
14,13.323540996937776,8331,2.3,51.937,52.375,52.437,0.7264906266996172,5,5,7,4,2,61
15,13.218149845263682,8940,99.5,52.625,52.437,52.468,0.7269694029188946,3,4,4,5,0,61
16,13.211488184859233,8940,99.5,52.625,52.437,52.468,0.7269694029188946,3,4,4,5,0,61
17,13.243901899923271,8940,99.5,52.625,52.437,52.468,0.7269694029188946,3,4,4,5,0,61
18,13.270720154908766,8940,99.5,52.625,52.437,52.468,0.7269694029188946,3,4,4,5,0,61
19,13.297900200056434,8940,99.5,52.625,52.437,52.468,0.7269694029188946,3,4,4,5,0,61
20,13.316307643463768,8940,99.5,52.625,52.437,52.468,0.7269694029188946,3,4,4,5,0,61
21,13.411215491165354,8940,99.5,52.625,52.437,52.468,0.7269694029188946,3,4,4,5,0,61
22,13.273786014481747,8737,,52.218,52.781,52.781,0.7269786298695873,4,3,2,3,2,63
23,13.455659532967827,8737,,52.218,52.781,52.781,0.7269786298695873,4,3,2,3,2,63
24,13.563747255270366,8737,,52.218,52.781,52.781,0.7269786298695873,4,3,2,3,2,63
25,13.726793124664546,8737,,52.218,52.781,52.781,0.7269786298695873,4,3,2,3,2,63
26,13.822834035849759,8737,,52.218,52.781,52.781,0.7269786298695873,4,3,2,3,2,63
27,14.075412432715412,8737,,52.218,52.781,52.781,0.7269786298695873,4,3,2,3,2,63
28,14.003325298308638,8737,,52.218,52.781,52.781,0.7269786298695873,4,3,2,3,2,63
29,14.28154463765846,8737,,52.218,52.781,52.781,0.7269786298695873,4,3,2,3,2,63
30,14.031432949063635,9062,99.4,52.906,52.531,52.906,0.7270698741597708,3,3,2,2,3,64
31,14.017177651674654,9062,99.4,52.906,52.531,52.906,0.7270698741597708,3,3,2,2,3,64
32,14.070407321180568,9062,99.4,52.906,52.531,52.906,0.7270698741597708,3,3,2,2,3,64
33,14.064745451253128,9062,99.4,52.906,52.531,52.906,0.7270698741597708,3,3,2,2,3,64
34,14.21865444461771,9062,99.4,52.906,52.531,52.906,0.7270698741597708,3,3,2,2,3,64
35,14.234578627280625,9062,99.4,52.906,52.531,52.906,0.7270698741597708,3,3,2,2,3,64
36,14.267504830326285,9062,99.4,52.906,52.531,52.906,0.7270698741597708,3,3,2,2,3,64
37,14.056638046020925,8900,,52.687,52.812,52.812,0.7272308331885214,2,3,3,2,67,2
38,14.009592902855157,8900,,52.687,52.812,52.812,0.7272308331885214,2,3,3,2,67,2
39,13.949580279104419,8900,,52.687,52.812,52.812,0.7272308331885214,2,3,3,2,67,2
40,13.900022535360632,8900,,52.687,52.812,52.812,0.7272308331885214,2,3,3,2,67,2
41,13.89325427714934,8900,,52.687,52.812,52.812,0.7272308331885214,2,3,3,2,67,2
42,13.924942232610023,8900,,52.687,52.812,52.812,0.7272308331885214,2,3,3,2,67,2
43,13.881850646879126,8900,,52.687,52.812,52.812,0.7272308331885214,2,3,3,2,67,2
44,13.964535181818787,8900,,52.687,52.812,52.812,0.7272308331885214,2,3,3,2,67,2
45,14.00482152993422,8778,17.9,52.437,52.906,52.906,0.7273231026954486,5,3,3,2,63,2
46,14.033780347439707,8778,17.9,52.437,52.906,52.906,0.7273231026954486,5,3,3,2,63,2
47,13.844734991896432,8778,17.9,52.437,52.906,52.906,0.7273231026954486,5,3,3,2,63,2
48,13.896568518635094,8778,17.9,52.437,52.906,52.906,0.7273231026954486,5,3,3,2,63,2
49,13.968209141620182,8778,17.9,52.437,52.906,52.906,0.7273231026954486,5,3,3,2,63,2
50,13.857817337205576,8778,17.9,52.437,52.906,52.906,0.7273231026954486,5,3,3,2,63,2
51,13.792016730733186,8778,17.9,52.437,52.906,52.906,0.7273231026954486,5,3,3,2,63,2
52,13.841582459359387,8778,17.9,52.437,52.906,52.906,0.7273231026954486,5,3,3,2,63,2
53,13.600383921970453,9022,99.5,52.625,52.718,52.875,0.7271611184499543,0,3,2,2,65,3
54,13.628489732258902,9022,99.5,52.625,52.718,52.875,0.7271611184499543,0,3,2,2,65,3
55,13.809317485925,9022,99.5,52.625,52.718,52.875,0.7271611184499543,0,3,2,2,65,3
56,13.823471832680221,9022,99.5,52.625,52.718,52.875,0.7271611184499543,0,3,2,2,65,3
57,13.715122818949958,9022,99.5,52.625,52.718,52.875,0.7271611184499543,0,3,2,2,65,3
58,13.851730515191546,9022,99.5,52.625,52.718,52.875,0.7271611184499543,0,3,2,2,65,3
59,13.869227360805244,9022,99.5,52.625,52.718,52.875,0.7271611184499543,0,3,2,2,65,3
60,13.705756065680909,9022,99.5,52.625,52.718,52.875,0.7271611184499543,0,3,2,2,65,3
61,13.847066047764624,8981,,52.718,53.125,53.125,0.7271288241225298,7,2,3,3,57,12
62,13.973234899239424,8981,,52.718,53.125,53.125,0.7271288241225298,7,2,3,3,57,12
63,13.9057830470488,8981,,52.718,53.125,53.125,0.7271288241225298,7,2,3,3,57,12
64,13.95524265190282,8981,,52.718,53.125,53.125,0.7271288241225298,7,2,3,3,57,12
65,13.94327353961943,8981,,52.718,53.125,53.125,0.7271288241225298,7,2,3,3,57,12
66,13.870740942837774,8981,,52.718,53.125,53.125,0.7271288241225298,7,2,3,3,57,12
67,13.586198407608238,8981,,52.718,53.125,53.125,0.7271288241225298,7,2,3,3,57,12
68,13.652844461949604,8778,,52.468,53.187,53.187,0.7270319411402563,3,3,2,1,62,4
69,13.563966574392673,8778,,52.468,53.187,53.187,0.7270319411402563,3,3,2,1,62,4
70,13.719564172093799,8778,,52.468,53.187,53.187,0.7270319411402563,3,3,2,1,62,4
71,13.694836891752022,8778,,52.468,53.187,53.187,0.7270319411402563,3,3,2,1,62,4
72,13.491236478379882,8778,,52.468,53.187,53.187,0.7270319411402563,3,3,2,1,62,4
73,13.69072434154478,8778,,52.468,53.187,53.187,0.7270319411402563,3,3,2,1,62,4
74,13.747128847868268,8778,,52.468,53.187,53.187,0.7270319411402563,3,3,2,1,62,4
75,13.79977627163256,8778,,52.468,53.187,53.187,0.7270319411402563,3,3,2,1,62,4
76,13.862168343402562,9022,99.5,52.718,52.937,52.937,0.7271288241225298,3,2,3,11,47,19
77,13.925034693864,9022,99.5,52.718,52.937,52.937,0.7271288241225298,3,2,3,11,47,19
78,13.892564009141797,9022,99.5,52.718,52.937,52.937,0.7271288241225298,3,2,3,11,47,19
79,13.971885035110395,9022,99.5,52.718,52.937,52.937,0.7271288241225298,3,2,3,11,47,19
80,13.964256225862298,9022,99.5,52.718,52.937,52.937,0.7271288241225298,3,2,3,11,47,19
81,14.038759430457281,9022,99.5,52.718,52.937,52.937,0.7271288241225298,3,2,3,11,47,19
82,14.077632819920723,9022,99.5,52.718,52.937,52.937,0.7271288241225298,3,2,3,11,47,19
83,13.972350476038189,9022,99.5,52.718,52.937,52.937,0.7271288241225298,3,2,3,11,47,19
